Command,Finished,Error,Burst Time,Turnaround Time,Waiting Time,Response Time
"trvhe",Yes,Yes,105,0,18446744073709551511,0
"trger",Yes,Yes,111,0,18446744073709551505,0
"ve",Yes,Yes,103,0,18446744073709551513,0
"rthbwr",Yes,Yes,107,0,18446744073709551509,0
"hbe",Yes,Yes,114,0,18446744073709551502,0
"bh",Yes,Yes,101,0,18446744073709551515,0
"b",Yes,Yes,91,0,18446744073709551525,0
"r",Yes,Yes,107,0,18446744073709551509,0
"hbr",Yes,Yes,90,0,18446744073709551526,0
"bh",Yes,Yes,106,0,18446744073709551510,0
"y",Yes,Yes,100,0,18446744073709551516,0
